TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Box	bkox.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	bmx.com	LOW_MATCH	2	box.com	www.box.com	104.18.37.71,172.64.150.185,2606:4700:4404::6812:2547,2606:4700:4407::ac40:96b9	https	200	www.mongoose.com	0.00	0.00	Unknown	cloudflare	redirects to www.mongoose.com
Box	bnx.com	LOW_MATCH	2	box.com	www.box.com	172.67.135.42,104.21.26.22,2606:4700:3032::ac43:872a,2606:4700:3037::6815:1a16	https	403	bnx.com	0.00	0.00	Unknown	cloudflare	
Box	boh.com	LOW_MATCH	2	box.com	www.box.com	40.118.174.70	https	200	www.boh.com	0.00	0.00	Unknown	cloudflare	redirects to www.boh.com
Box	bow.com	LOW_MATCH	2	box.com	www.box.com	104.26.4.120,104.26.5.120,172.67.69.203,2606:4700:20::681a:578,2606:4700:20::ac43:45cb,2606:4700:20::681a:478	https	200	www.bow.com	0.00	0.00	Unknown	cloudflare	redirects to www.bow.com
Box	boxa.com	LOW_MATCH	2	box.com	www.box.com	52.20.84.62	https	200	www.atom.com	0.00	0.00	Unknown	cloudflare	redirects to www.atom.com
Box	boxb.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxf.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxh.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxj.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxk.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxl.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxm.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxp.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxt.com	LOW_MATCH	2	box.com	www.box.com	62.233.121.5	https	200	www.boxt.co.uk	0.00	0.00	Unknown	cloudflare	redirects to www.boxt.co.uk
Box	boxu.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxv.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boxw.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boy.com	LOW_MATCH	2	box.com	www.box.com	52.20.84.62	https	200	www.atom.com	0.00	0.00	Unknown	cloudflare	redirects to www.atom.com
